TIME_STAMPE,EPX_TRAJ_FRONTEND,EXP_TRAJ_OPT,GENERATE_EXP_TRAJ,BACK_TRAJ_FRONTEND,BACK_TRAJ_OPT,GENERATE_BACK_TRAJ,TOTAL_REPLAN,VISUALIZATION
8.22444, 0.00451391, 0.0055847, 0.0101887, 0.00156952, 0.00465768, 0.0141389, 0.0244007, 0.00106351
8.28364, 0.00242286, 0.00448581, 0.00696916, 0.00103777, 0.00408991, 0.00988227, 0.0169151, 0.000337633
8.35149, 0.00484288, 0.00599189, 0.0109608, 0.00138892, 0.00250213, 0.0070797, 0.0181314, 0.000498872
8.42081, 0.00425575, 0.00349579, 0.0078457, 0.00129975, 0.00599181, 0.0128417, 0.0207631, 0.000367587
8.48292, 0.00427777, 0.00286589, 0.00723428, 0.00147938, 0.00351541, 0.00889678, 0.0162086, 0.000406026
8.5531, 0.00457915, 0.00410564, 0.00875304, 0.0014101, 0.00394241, 0.00953938, 0.0184105, 0.000499294
8.63535, 0.00448355, 0.0147943, 0.0193829, 0.00242049, 0.00910444, 0.0158038, 0.0352878, 0.000538076
8.71754, 0.00443522, 0.0183036, 0.0228253, 0.00188, 0.0160312, 0.0253568, 0.0486181, 0.000787446
8.74629, 0.00352286, 0.00160347, 0.00520426, 0.000783028, 0.00386593, 0.00757065, 0.0128563, 0.000403129
8.82067, 0.00378747, 0.00430476, 0.00817666, 0.00214251, 0.00571539, 0.0121749, 0.0204217, 0.000462565
8.88523, 0.00364698, 0.00476974, 0.00849996, 0.00138375, 0.00338507, 0.00974935, 0.0183311, 0.000410565
8.96173, 0.00239404, 0.0128726, 0.0153375, 0.00200013, 0.00588764, 0.012955, 0.0283554, 0.000374007
9.03401, 0.00441052, 0.0178257, 0.0222949, 0.00133205, 0.00417264, 0.0116074, 0.0339708, 0.000416157
9.09823, 0.00468383, 0.0153065, 0.0200912, 0.00231011, 0.00439795, 0.0113017, 0.0315116, 0.000563333
9.17421, 0.00555003, 0.0197531, 0.0253945, 0.00188572, 0.00735048, 0.0152925, 0.0407918, 0.000514555
